pair,strategy,side,entry_time,entry_price,stop_loss,take_profit,size_units,risk_pct,exit_time,exit_price,pnl,pnl_pct,exit_reason,bars_held,regime
GBPUSD,sniper,long,2020-08-27 00:00:00+00:00,1.3220070264816284,1.309397133787713,1.3850564899512054,10480.733170881751,2.0,2020-09-08 00:00:00+00:00,1.309284633787713,-133.34000312010158,-1.3334000312010157,stop_loss,8,normal
AUDUSD,sniper,short,2020-09-09 00:00:00+00:00,0.7208626538085937,0.7286631953382807,0.6818599461601588,17623.245903371822,2.0,2020-09-10 00:00:00+00:00,0.7287706953382808,-139.36536049175152,-1.3936536049175152,stop_loss,1,normal
AUDUSD,sniper,long,2020-09-16 00:00:00+00:00,0.7296191782188416,0.722144464338006,0.7669927476230193,18167.715767611106,2.0,2020-09-21 00:00:00+00:00,0.722036964338006,-137.75150667625627,-1.3775150667625626,stop_loss,3,normal
EURUSD,sniper,long,2020-08-14 00:00:00+00:00,1.181995967903137,1.1717754220330499,1.2330986972535731,12234.935193522406,2.0,2020-09-22 00:00:00+00:00,1.17167292203305,-126.30179722027532,-1.2630179722027532,stop_loss,27,normal
EURUSD,sniper,short,2020-09-23 00:00:00+00:00,1.1706520518875123,1.1804239913473151,1.121792354588498,13572.519368346077,2.0,2020-10-06 00:00:00+00:00,1.180526491347315,-134.02102081973302,-1.3402102081973302,stop_loss,9,normal
AUDUSD,sniper,short,2020-10-08 00:00:00+00:00,0.7136174112129211,0.7213033707993101,0.6751876132809761,17046.87409060385,2.0,2020-10-09 00:00:00+00:00,0.7214108707993101,-132.85412429938276,-1.3285412429938277,stop_loss,1,normal
GBPUSD,sniper,short,2020-09-09 00:00:00+00:00,1.2966856100082398,1.3072819285391788,1.2437040173535443,12973.454993425552,2.0,2020-10-12 00:00:00+00:00,1.3073944285391788,-138.93037524389825,-1.3893037524389826,stop_loss,23,high
AUDUSD,sniper,long,2020-10-12 00:00:00+00:00,0.7224160165023804,0.7146719092739139,0.7611365526447128,16497.72757155142,2.0,2020-10-15 00:00:00+00:00,0.7145644092739138,-129.5336770540652,-1.295336770540652,stop_loss,3,normal
GBPUSD,sniper,short,2020-10-19 00:00:00+00:00,1.2926621772766114,1.3060610172378975,1.2256679774701813,9419.156253834382,2.0,2020-10-21 00:00:00+00:00,1.3061735172378974,-127.26542229403002,-1.2726542229403002,stop_loss,2,normal
GBPUSD,sniper,long,2020-10-23 00:00:00+00:00,1.3079516551971435,1.2941655563137329,1.3768821496141972,9043.789922178514,2.0,2020-10-28 00:00:00+00:00,1.294053056313733,-125.69600851419038,-1.2569600851419038,stop_loss,3,normal
USDJPY,sniper,short,2020-08-28 00:00:00+00:00,106.64774658203125,107.22062912461158,103.78333386912956,3260.0534481900454,2.0,2020-11-05 00:00:00+00:00,103.79458386912957,87.21668519538656,0.8721668519538656,take_profit,49,high
EURUSD,sniper,short,2020-10-06 00:00:00+00:00,1.178725739440918,1.1915891938044967,1.1144084676230248,10185.5677045518,2.0,2020-11-09 00:00:00+00:00,1.1916916938044966,-132.0656060243577,-1.3206560602435768,stop_loss,24,low
EURUSD,sniper,long,2020-11-09 00:00:00+00:00,1.1894176998519896,1.182510431554633,1.2239540413387722,17754.058148104607,2.0,2020-11-10 00:00:00+00:00,1.1824079315546332,-124.45183395600654,-1.2445183395600654,stop_loss,1,high
USDJPY,sniper,long,2020-11-11 00:00:00+00:00,105.27425048828125,104.673803424355,108.27648580791255,2876.739098746667,2.0,2020-11-13 00:00:00+00:00,104.662553424355,-16.71532071920177,-0.1671532071920177,stop_loss,2,high
USDJPY,sniper,short,2020-11-18 00:00:00+00:00,104.14174987792968,104.70541401981858,101.32342916848525,2903.2073419517956,2.0,2020-11-24 00:00:00+00:00,104.71666401981858,-16.027145306087135,-0.16027145306087134,stop_loss,4,high
AUDUSD,sniper,long,2020-11-05 00:00:00+00:00,0.7177075475883484,0.7115349788705055,0.7485703911775627,20124.00929762833,2.0,2020-12-09 00:00:00+00:00,0.7484628911775627,618.9208203411021,6.189208203411021,take_profit,24,high
GBPUSD,sniper,long,2020-11-05 00:00:00+00:00,1.2962215803146362,1.2823314559795727,1.3656722019899536,8942.816296795361,2.0,2020-12-31 00:00:00+00:00,1.3655597019899537,620.078084507209,6.2007808450720905,take_profit,40,normal
AUDUSD,sniper,long,2021-01-22 00:00:00+00:00,0.7762519449424744,0.7673412333697174,0.8208055028062597,15219.177183205838,2.0,2021-01-26 00:00:00+00:00,0.7672337333697173,-137.24975980142713,-1.3724975980142713,stop_loss,2,normal
USDJPY,sniper,short,2020-12-07 00:00:00+00:00,104.18974639892578,104.84938720995113,100.89154234379903,2897.255141924817,2.0,2021-01-29 00:00:00+00:00,104.86063720995114,-18.655788300617,-0.18655788300617002,stop_loss,39,normal
USDJPY,sniper,long,2021-02-16 00:00:00+00:00,105.39625213623047,104.81327482635727,108.31113868559646,3172.381108583856,2.0,2021-03-05 00:00:00+00:00,108.29988868559646,87.3981906253741,0.8739819062537411,take_profit,13,normal
GBPUSD,sniper,long,2021-03-15 00:00:00+00:00,1.3932000062942504,1.3817495367996524,1.4504523537672411,11771.710324026631,2.0,2021-03-16 00:00:00+00:00,1.3816370367996524,-136.11592737596436,-1.3611592737596436,stop_loss,1,normal
EURUSD,sniper,short,2021-01-12 00:00:00+00:00,1.216057797393799,1.2249829472153504,1.1714320482860414,15194.557062422306,2.0,2021-03-30 00:00:00+00:00,1.1715345482860413,676.5110491722662,6.765110491722662,take_profit,55,normal
AUDUSD,sniper,long,2021-01-28 00:00:00+00:00,0.7652775973510743,0.7558145759786568,0.8125927042131615,14156.86342282777,2.0,2021-04-01 00:00:00+00:00,0.7557070759786567,-135.4885639545693,-1.354885639545693,stop_loss,45,normal
AUDUSD,sniper,short,2021-04-09 00:00:00+00:00,0.7655124932098388,0.776415158840526,0.710999165056403,12808.838993057367,2.0,2021-04-19 00:00:00+00:00,0.7765226588405261,-141.0274388503668,-1.410274388503668,stop_loss,6,low
GBPUSD,sniper,short,2021-03-17 00:00:00+00:00,1.3901666738510132,1.4012385434609518,1.3348073258013204,12026.71486633767,2.0,2021-05-10 00:00:00+00:00,1.4013510434609517,-134.5112242584628,-1.345112242584628,stop_loss,38,normal
AUDUSD,sniper,long,2021-05-10 00:00:00+00:00,0.7857398122978211,0.7778824066567502,0.8250268405031753,17352.295519609324,2.0,2021-05-12 00:00:00+00:00,0.7777749066567502,-138.20939646966536,-1.3820939646966537,stop_loss,2,normal
USDJPY,sniper,short,2021-05-11 00:00:00+00:00,108.82374908447265,109.74923730346309,104.19630798952048,3132.2212717435386,2.0,2021-05-13 00:00:00+00:00,109.7604873034631,-26.961682539529992,-0.2696168253952999,stop_loss,2,low
USDJPY,sniper,long,2021-05-14 00:00:00+00:00,109.53024719238282,108.88110419068293,112.77596220088226,3066.77778963646,2.0,2021-05-18 00:00:00+00:00,108.86985419068293,-18.490587230094498,-0.184905872300945,stop_loss,2,normal
AUDUSD,sniper,short,2021-05-14 00:00:00+00:00,0.7722823291587829,0.780479839012155,0.7312947798919227,16390.58374512668,2.0,2021-05-18 00:00:00+00:00,0.780587339012155,-136.12395950579807,-1.3612395950579808,stop_loss,2,normal
GBPUSD,sniper,long,2021-06-09 00:00:00+00:00,1.4149399660110473,1.4011222622295143,1.484028484918712,9589.624968618667,2.0,2021-06-17 00:00:00+00:00,1.4010097622295143,-133.58543000133483,-1.3358543000133483,stop_loss,6,low
EURUSD,sniper,long,2021-04-08 00:00:00+00:00,1.187299708404541,1.1761871626924343,1.242862436965074,12566.921412657914,2.0,2021-07-20 00:00:00+00:00,1.1760846626924344,-140.93859810340874,-1.4093859810340874,stop_loss,73,low
GBPUSD,sniper,short,2021-07-15 00:00:00+00:00,1.3856008388519288,1.3952558546523868,1.337325759849639,13558.089881752416,2.0,2021-07-29 00:00:00+00:00,1.3953683546523867,-132.42885714404622,-1.3242885714404622,stop_loss,10,normal
USDJPY,sniper,long,2021-06-11 00:00:00+00:00,109.40424774169922,108.78562719601469,112.49735047012193,3027.9125337347614,2.0,2021-08-04 00:00:00+00:00,108.77437719601468,-17.43253081371582,-0.1743253081371582,stop_loss,38,normal
USDJPY,sniper,long,2021-08-10 00:00:00+00:00,110.32925079345704,109.68690535000447,113.54097801071985,2887.1303684945287,2.0,2021-08-16 00:00:00+00:00,109.67565535000446,-17.10349014364449,-0.1710349014364449,stop_loss,4,normal
AUDUSD,sniper,short,2021-06-11 00:00:00+00:00,0.7746424346733093,0.7846889869469059,0.724409673305326,13189.260711916719,2.0,2021-08-18 00:00:00+00:00,0.7245171733053261,661.1151404352981,6.611151404352982,take_profit,48,low
USDJPY,sniper,short,2021-08-17 00:00:00+00:00,109.290751953125,109.94305715077974,106.02922596485126,2909.869500496526,2.0,2021-08-18 00:00:00+00:00,109.95430715077974,-17.667176746845282,-0.1766717674684528,stop_loss,1,normal
EURUSD,sniper,short,2021-08-09 00:00:00+00:00,1.1749856671905519,1.1843766664675948,1.128030670805337,13567.669258700713,2.0,2021-08-31 00:00:00+00:00,1.1844791664675947,-128.80465829863095,-1.2880465829863095,stop_loss,16,low
AUDUSD,sniper,short,2021-09-16 00:00:00+00:00,0.7336925535964965,0.7405974119892149,0.6991682616329048,19317.47798379651,2.0,2021-10-14 00:00:00+00:00,0.740704911989215,-135.46107886582857,-1.3546107886582857,stop_loss,20,normal
USDJPY,sniper,long,2021-11-02 00:00:00+00:00,114.09524963378907,113.57250063481061,116.70899462868138,2887.037748264841,2.0,2021-11-04 00:00:00+00:00,113.5612506348106,-13.512177523032406,-0.13512177523032406,stop_loss,2,high
EURUSD,sniper,short,2021-09-14 00:00:00+00:00,1.180967350921631,1.1889670242226922,1.1409689844163244,16673.73715935065,2.0,2021-11-16 00:00:00+00:00,1.1410714844163243,665.2131918540242,6.652131918540243,take_profit,45,low
USDJPY,sniper,long,2021-11-15 00:00:00+00:00,114.00224731445313,113.26806269268224,117.67317042330757,2885.8372094832293,2.0,2021-11-26 00:00:00+00:00,113.25681269268223,-18.869829493885643,-0.18869829493885643,stop_loss,9,normal
GBPUSD,sniper,short,2021-08-11 00:00:00+00:00,1.3835875131607056,1.3965439279093113,1.3188054394176778,9834.04550346983,2.0,2021-12-08 00:00:00+00:00,1.3189179394176778,635.9635308789335,6.359635308789335,take_profit,85,low
EURUSD,sniper,short,2021-12-08 00:00:00+00:00,1.1272041997528077,1.1346175779698113,1.0901373086677892,19826.919566526773,2.0,2021-12-16 00:00:00+00:00,1.1347200779698112,-149.0167128803391,-1.4901671288033909,stop_loss,6,normal
GBPUSD,sniper,short,2021-12-21 00:00:00+00:00,1.3208740093231202,1.3299809007554366,1.2753395521615378,15943.558144875724,2.0,2021-12-22 00:00:00+00:00,1.3300934007554366,-146.989903361506,-1.4698990336150601,stop_loss,1,normal
USDJPY,sniper,short,2021-12-21 00:00:00+00:00,113.64774658203125,114.35894532505036,110.0917528669357,3193.997625052009,2.0,2021-12-22 00:00:00+00:00,114.37019532505036,-20.303962364614964,-0.20303962364614964,stop_loss,1,normal
AUDUSD,sniper,short,2021-12-16 00:00:00+00:00,0.7168925672340393,0.721999880833978,0.6913559992343452,28429.08512059039,2.0,2021-12-23 00:00:00+00:00,0.7221073808339781,-148.2523797206727,-1.4825237972067271,stop_loss,5,high
AUDUSD,sniper,long,2021-12-24 00:00:00+00:00,0.723337504310608,0.7161516388185781,0.7592668317707572,19678.867950101594,2.0,2022-01-06 00:00:00+00:00,0.7160441388185781,-143.5251764294833,-1.435251764294833,stop_loss,9,normal
AUDUSD,sniper,short,2022-01-10 00:00:00+00:00,0.7177624374198913,0.724686228589627,0.6831434815712133,20174.986879771328,2.0,2022-01-12 00:00:00+00:00,0.724793728589627,-141.85620709726905,-1.4185620709726905,stop_loss,2,normal
AUDUSD,sniper,long,2022-01-14 00:00:00+00:00,0.7281272739601136,0.7209018680261278,0.7642543036300427,19097.213745942165,2.0,2022-01-17 00:00:00+00:00,0.7207943680261277,-140.03807200021512,-1.4003807200021512,stop_loss,1,normal
EURUSD,sniper,long,2021-12-20 00:00:00+00:00,1.1243548193359374,1.1169581677689409,1.16133807717092,19629.997675984367,2.0,2022-01-27 00:00:00+00:00,1.116855667768941,-147.20832783199447,-1.4720832783199447,stop_loss,28,normal
AUDUSD,sniper,short,2022-02-08 00:00:00+00:00,0.7126925259399414,0.7183265051907037,0.6845226296861296,23879.776395401874,2.0,2022-02-09 00:00:00+00:00,0.7184340051907038,-137.1052406870457,-1.371052406870457,stop_loss,1,high
EURUSD,sniper,long,2022-02-04 00:00:00+00:00,1.143613080062866,1.1368055133697956,1.1776509135282187,19763.032929444154,2.0,2022-02-14 00:00:00+00:00,1.1367030133697957,-136.56387559980502,-1.3656387559980503,stop_loss,6,high
GBPUSD,sniper,long,2021-12-24 00:00:00+00:00,1.3410263917922973,1.3311585226838858,1.3903657373343548,14330.31757629484,2.0,2022-02-24 00:00:00+00:00,1.3310460226838858,-143.02185885217924,-1.4302185885217924,stop_loss,44,normal
GBPUSD,sniper,short,2022-02-25 00:00:00+00:00,1.3371076919555664,1.3444121173184607,1.3005855651410951,17734.163412896345,2.0,2022-03-15 00:00:00+00:00,1.300698065141095,645.6942717304075,6.4569427173040745,take_profit,12,high
AUDUSD,sniper,short,2022-03-16 00:00:00+00:00,0.718934145526886,0.7253804428373914,0.6867026589743584,21296.908546228697,2.0,2022-03-17 00:00:00+00:00,0.7254879428373915,-139.57562195235604,-1.3957562195235604,stop_loss,1,high
USDJPY,sniper,long,2021-12-23 00:00:00+00:00,114.13525054931641,113.0978740576527,119.32213300763493,3097.41507212413,2.0,2022-03-18 00:00:00+00:00,119.31088300763493,140.4568869566183,1.4045688695661829,take_profit,61,low
EURUSD,sniper,short,2022-03-25 00:00:00+00:00,1.1007946929550172,1.111544403585494,1.047046139802633,12772.137240088385,2.0,2022-03-29 00:00:00+00:00,1.111646903585494,-138.6059235307945,-1.386059235307945,stop_loss,2,normal
EURUSD,sniper,long,2022-03-31 00:00:00+00:00,1.1162860193634032,1.1049574947990666,1.172928642185086,11972.742576584553,2.0,2022-04-01 00:00:00+00:00,1.1048549947990667,-136.86071449541592,-1.3686071449541592,stop_loss,1,normal
AUDUSD,sniper,long,2022-03-21 00:00:00+00:00,0.741128179473877,0.7342932240371707,0.7753029566574086,20087.44325183904,2.0,2022-04-22 00:00:00+00:00,0.7341857240371706,-139.45617961326025,-1.3945617961326024,stop_loss,24,high
GBPUSD,sniper,short,2022-03-30 00:00:00+00:00,1.3091822006225586,1.3203897060260632,1.2531446736050356,12102.024803744896,2.0,2022-04-27 00:00:00+00:00,1.2532571736050355,676.8060641161682,6.768060641161681,take_profit,20,normal
USDJPY,sniper,long,2022-06-02 00:00:00+00:00,130.13324401855468,128.76620620841288,136.96843306926365,2697.991959713672,2.0,2022-06-29 00:00:00+00:00,136.95718306926366,141.47755119179172,1.414775511917917,take_profit,19,normal
EURUSD,sniper,short,2022-04-06 00:00:00+00:00,1.0905407867050172,1.1018325579342323,1.0340819305589417,11866.267664075416,2.0,2022-07-05 00:00:00+00:00,1.0341844305589416,668.7396066012947,6.687396066012946,take_profit,64,normal
GBPUSD,sniper,short,2022-06-03 00:00:00+00:00,1.2576699592590332,1.270396309104048,1.194038210033959,11035.322785537046,2.0,2022-07-05 00:00:00+00:00,1.194150710033959,700.9554182936681,7.0095541829366805,take_profit,22,normal
EURUSD,sniper,short,2022-07-28 00:00:00+00:00,1.0208265981292726,1.029369831620471,0.9781104306732809,18561.291751866356,2.0,2022-08-10 00:00:00+00:00,1.0294723316204708,-160.47598173901255,-1.6047598173901254,stop_loss,9,high
AUDUSD,sniper,short,2022-06-13 00:00:00+00:00,0.7017207413482666,0.7117047107291145,0.6518008944440272,14066.487292199638,2.0,2022-08-11 00:00:00+00:00,0.7118122107291145,-141.95152580531914,-1.4195152580531913,stop_loss,43,normal
