config,score,total_return_pct,annualized_return_pct,max_drawdown_pct,sharpe,win_rate,total_trades,trades_per_month,profit_factor,final_equity,years,avg_trade_pnl,p_name,p_sniper_fast,p_sniper_slow,p_sniper_adx,p_sniper_sl_atr,p_sniper_tp_atr,p_sniper_risk_pct,p_sniper_max_per_month,p_bg_fast,p_bg_slow,p_bg_adx,p_bg_sl_atr,p_bg_tp_atr,p_bg_risk_pct,p_bg_max_per_month,p_atr_period,p_adx_period,p_atr_z_lookback,p_rsi_period,p_use_rsi_filter,p_rsi_long_max,p_rsi_short_min,p_use_dynamic_targets,p_high_vol_mult,p_low_vol_mult,p_normal_vol_mult,p_high_z,p_low_z,p_sniper_alloc,p_background_alloc
grid_023_sa12_ba20_sm3_stp4.0,42.605,22.61,5.24,16.86,0.354,26.9,171,3.57,1.207,12260.69,3.99,13.22,grid_023_sa12_ba20_sm3_stp4.0,5,13,12.0,1.0,4.0,2.0,3,8,21,20.0,2.0,3.0,1.0,0,14,14,50,14,True,70.0,30.0,True,0.75,1.35,1.0,1.0,-1.0,0.6,0.4
grid_006_sa10_ba18_sm2_stp5.0,42.347,20.17,4.71,14.16,0.324,27.59,174,3.63,1.18,12017.43,3.99,11.59,grid_006_sa10_ba18_sm2_stp5.0,5,13,10.0,1.0,5.0,2.0,2,8,21,18.0,2.0,3.0,1.0,0,14,14,50,14,True,70.0,30.0,True,0.75,1.35,1.0,1.0,-1.0,0.6,0.4
grid_017_sa12_ba18_sm2_stp4.0,42.059,18.38,4.32,12.77,0.307,28.57,175,3.65,1.17,11837.55,3.99,10.5,grid_017_sa12_ba18_sm2_stp4.0,5,13,12.0,1.0,4.0,2.0,2,8,21,18.0,2.0,3.0,1.0,0,14,14,50,14,True,70.0,30.0,True,0.75,1.35,1.0,1.0,-1.0,0.6,0.4
grid_010_sa10_ba20_sm2_stp5.0,41.65,18.28,4.29,14.15,0.302,25.61,164,3.42,1.165,11827.67,3.99,11.14,grid_010_sa10_ba20_sm2_stp5.0,5,13,10.0,1.0,5.0,2.0,2,8,21,20.0,2.0,3.0,1.0,0,14,14,50,14,True,70.0,30.0,True,0.75,1.35,1.0,1.0,-1.0,0.6,0.4
grid_021_sa12_ba20_sm2_stp4.0,41.419,16.54,3.91,12.59,0.285,26.67,165,3.44,1.155,11653.52,3.99,10.02,grid_021_sa12_ba20_sm2_stp4.0,5,13,12.0,1.0,4.0,2.0,2,8,21,20.0,2.0,3.0,1.0,0,14,14,50,14,True,70.0,30.0,True,0.75,1.35,1.0,1.0,-1.0,0.6,0.4
grid_003_sa10_ba15_sm3_stp4.0,40.499,17.92,4.22,17.94,0.294,31.19,218,4.55,1.144,11792.39,3.99,8.22,grid_003_sa10_ba15_sm3_stp4.0,5,13,10.0,1.0,4.0,2.0,3,8,21,15.0,2.0,3.0,1.0,0,14,14,50,14,True,70.0,30.0,True,0.75,1.35,1.0,1.0,-1.0,0.6,0.4
grid_007_sa10_ba18_sm3_stp4.0,39.099,14.7,3.5,18.81,0.254,28.27,191,3.99,1.125,11469.86,3.99,7.7,grid_007_sa10_ba18_sm3_stp4.0,5,13,10.0,1.0,4.0,2.0,3,8,21,18.0,2.0,3.0,1.0,0,14,14,50,14,True,70.0,30.0,True,0.75,1.35,1.0,1.0,-1.0,0.6,0.4
grid_011_sa10_ba20_sm3_stp4.0,38.493,12.95,3.1,18.64,0.233,26.52,181,3.78,1.112,11294.62,3.99,7.15,grid_011_sa10_ba20_sm3_stp4.0,5,13,10.0,1.0,4.0,2.0,3,8,21,20.0,2.0,3.0,1.0,0,14,14,50,14,True,70.0,30.0,True,0.75,1.35,1.0,1.0,-1.0,0.6,0.4
grid_001_sa10_ba15_sm2_stp4.0,37.715,9.18,2.22,16.05,0.187,30.84,214,4.47,1.075,10918.09,3.99,4.29,grid_001_sa10_ba15_sm2_stp4.0,5,13,10.0,1.0,4.0,2.0,2,8,21,15.0,2.0,3.0,1.0,0,14,14,50,14,True,70.0,30.0,True,0.75,1.35,1.0,1.0,-1.0,0.6,0.4
grid_005_sa10_ba18_sm2_stp4.0,36.336,6.12,1.5,16.94,0.144,27.81,187,3.9,1.053,10612.26,3.99,3.27,grid_005_sa10_ba18_sm2_stp4.0,5,13,10.0,1.0,4.0,2.0,2,8,21,18.0,2.0,3.0,1.0,0,14,14,50,14,True,70.0,30.0,True,0.75,1.35,1.0,1.0,-1.0,0.6,0.4
grid_009_sa10_ba20_sm2_stp4.0,35.746,4.46,1.1,16.77,0.121,25.99,177,3.7,1.039,10446.38,3.99,2.52,grid_009_sa10_ba20_sm2_stp4.0,5,13,10.0,1.0,4.0,2.0,2,8,21,20.0,2.0,3.0,1.0,0,14,14,50,14,True,70.0,30.0,True,0.75,1.35,1.0,1.0,-1.0,0.6,0.4
