pair,strategy,side,entry_time,entry_price,stop_loss,take_profit,size_units,risk_pct,exit_time,exit_price,pnl,pnl_pct,exit_reason,bars_held,regime,initial_stop,initial_tp,initial_units,realized_partial,moved_be,partial_taken
EURUSD,background,short,2023-02-08 00:00:00+00:00,1.072870393714905,1.072870393714905,1.0546487600005052,1896.5469206319642,1.0,2023-02-24 00:00:00+00:00,1.0547512600005051,60.66399839547765,0.6066399839547765,take_profit_partial,12,normal,1.0850181495245048,1.0546487600005052,3793.0938412639284,26.30021114491396,True,True
AUDUSD,background,short,2023-02-08 00:00:00+00:00,0.6963523298072815,0.6963523298072815,0.6774546864921545,1828.7033326671954,1.0,2023-02-24 00:00:00+00:00,0.6775621864921545,60.659619297683705,0.6065961929768371,take_profit_partial,12,normal,0.7089507586840328,0.6774546864921545,3657.4066653343907,26.29802159601681,True,True
GBPUSD,sniper,short,2023-03-09 00:00:00+00:00,1.1848339178085328,1.2053743059293025,1.1540233356273781,4129.979898124121,1.5,2023-03-10 00:00:00+00:00,1.2054868059293025,-85.29601277698535,-0.8529601277698535,stop_loss,1,normal,1.2053743059293025,1.1540233356273781,4129.979898124121,0.0,False,False
EURUSD,background,long,2023-03-15 00:00:00+00:00,1.0728682079696654,1.0624767909182795,1.0884553335467442,4415.936249049074,1.0,2023-03-16 00:00:00+00:00,1.0623742909182796,-46.340468701728746,-0.4634046870172875,stop_loss,1,high,1.0624767909182795,1.0884553335467442,4415.936249049074,0.0,False,False
USDJPY,background,short,2023-03-15 00:00:00+00:00,134.38575317382814,134.38575317382814,131.0588760050774,853.658854314075,1.0,2023-03-20 00:00:00+00:00,131.07012600507738,37.19261871266825,0.3719261871266825,take_profit_partial,3,normal,136.60367128632865,131.0588760050774,1707.31770862815,16.130754464698136,True,True
GBPUSD,background,long,2023-03-15 00:00:00+00:00,1.2153122089385986,1.2153122089385986,1.237202290717003,1572.2132413915367,1.0,2023-03-30 00:00:00+00:00,1.237089790717003,60.447633708653996,0.60447633708654,take_profit_partial,11,high,1.2007188210863289,1.237202290717003,3144.4264827830734,26.208631271159394,True,True
AUDUSD,background,long,2023-04-03 00:00:00+00:00,0.6659972995948792,0.6659972995948792,0.6840899105935133,3823.5513049848073,1.0,2023-04-06 00:00:00+00:00,0.6658897995948792,-0.41103176528601254,-0.004110317652860126,breakeven_stop,3,low,0.6539355589291231,0.6840899105935133,3823.5513049848073,0.0,True,False
USDJPY,background,short,2023-04-05 00:00:00+00:00,131.47375061035157,133.5049939497015,128.42688560132672,1753.9122466971253,1.0,2023-04-10 00:00:00+00:00,133.51624394970148,-27.24767541088956,-0.2724767541088956,stop_loss,3,normal,133.5049939497015,128.42688560132672,1753.9122466971253,0.0,False,False
USDJPY,background,long,2023-04-12 00:00:00+00:00,133.605244140625,133.605244140625,136.5403625597097,860.6365037632105,1.0,2023-05-01 00:00:00+00:00,136.52911255970972,33.257373016300626,0.33257373016300623,take_profit_partial,13,normal,131.64849852790184,136.5403625597097,1721.273007526421,14.422873593387676,True,True
GBPUSD,sniper,long,2023-04-05 00:00:00+00:00,1.2500656507492065,1.2309546640418454,1.2787321308102482,4424.204905974636,1.5,2023-05-10 00:00:00+00:00,1.2623542882919312,54.367450504266664,0.5436745050426666,time_exit,25,normal,1.2309546640418454,1.2787321308102482,4424.204905974636,0.0,False,False
