,equity
2020-08-27 00:00:00+00:00,10486.758158557324
2020-08-28 00:00:00+00:00,10535.870365402365
2020-08-31 00:00:00+00:00,10535.870365402365
2020-09-01 00:00:00+00:00,10535.870365402365
2020-09-02 00:00:00+00:00,10448.081533847824
2020-09-03 00:00:00+00:00,10448.081533847824
2020-09-04 00:00:00+00:00,10448.081533847824
2020-09-07 00:00:00+00:00,10448.081533847824
2020-09-08 00:00:00+00:00,10448.081533847824
2020-09-09 00:00:00+00:00,10447.558231675637
2020-09-10 00:00:00+00:00,10447.558231675637
2020-09-11 00:00:00+00:00,10447.558231675637
2020-09-14 00:00:00+00:00,10447.558231675637
2020-09-15 00:00:00+00:00,10447.558231675637
2020-09-16 00:00:00+00:00,10484.908999826606
2020-09-17 00:00:00+00:00,10484.908999826606
2020-09-18 00:00:00+00:00,10484.908999826606
2020-09-21 00:00:00+00:00,10511.078724786186
2020-09-22 00:00:00+00:00,10511.078724786186
2020-09-23 00:00:00+00:00,10511.078724786186
2020-09-24 00:00:00+00:00,10511.078724786186
2020-09-25 00:00:00+00:00,10511.078724786186
2020-09-28 00:00:00+00:00,10511.078724786186
2020-09-29 00:00:00+00:00,10511.078724786186
2020-09-30 00:00:00+00:00,10511.078724786186
2020-10-01 00:00:00+00:00,10511.078724786186
2020-10-02 00:00:00+00:00,10511.078724786186
2020-10-05 00:00:00+00:00,10511.078724786186
2020-10-06 00:00:00+00:00,10463.443449181405
2020-10-07 00:00:00+00:00,10463.443449181405
2020-10-08 00:00:00+00:00,10466.163469119541
2020-10-09 00:00:00+00:00,10466.163469119541
2020-10-12 00:00:00+00:00,10466.163469119541
2020-10-13 00:00:00+00:00,10466.163469119541
2020-10-14 00:00:00+00:00,10466.163469119541
2020-10-15 00:00:00+00:00,10466.163469119541
2020-10-16 00:00:00+00:00,10466.163469119541
2020-10-19 00:00:00+00:00,10466.163469119541
2020-10-20 00:00:00+00:00,10515.214053530852
2020-10-21 00:00:00+00:00,10515.214053530852
2020-10-22 00:00:00+00:00,10515.214053530852
2020-10-23 00:00:00+00:00,10514.615774985527
2020-10-26 00:00:00+00:00,10514.615774985527
2020-10-27 00:00:00+00:00,10514.615774985527
2020-10-28 00:00:00+00:00,10524.582272664657
2020-10-29 00:00:00+00:00,10524.582272664657
2020-10-30 00:00:00+00:00,10524.582272664657
2020-11-02 00:00:00+00:00,10524.434452778947
2020-11-03 00:00:00+00:00,10436.330672000688
2020-11-04 00:00:00+00:00,10436.090961082371
2020-11-05 00:00:00+00:00,10436.090961082371
2020-11-06 00:00:00+00:00,10485.24850270425
2020-11-09 00:00:00+00:00,10485.24850270425
2020-11-10 00:00:00+00:00,10485.24850270425
2020-11-11 00:00:00+00:00,10485.24850270425
2020-11-12 00:00:00+00:00,10485.24850270425
2020-11-13 00:00:00+00:00,10485.24850270425
2020-11-16 00:00:00+00:00,10485.24850270425
2020-11-17 00:00:00+00:00,10485.24850270425
2020-11-18 00:00:00+00:00,10485.24850270425
2020-11-19 00:00:00+00:00,10485.24850270425
2020-11-20 00:00:00+00:00,10485.24850270425
2020-11-23 00:00:00+00:00,10614.046463472887
2020-11-24 00:00:00+00:00,10614.046463472887
