config,ret,dd,sharpe,wr,tpm,pf,trades,pos_years,y2020,y2022,y2024,y2025,halt20_ret,halt20_dd
r1.5_0.5_tp3.0_a20_22,-20.34,27.06,-0.242,31.81,13.06,0.913,940,2,-10.174630728379409,4.792540430356285,-6.482520529085301,-8.834366435343998,-11.96,19.81
r1.5_0.5_tp3.0_a20_25,-19.6,27.06,-0.222,29.47,10.79,0.916,777,2,-10.164923270672777,6.155261555201053,-6.400453396433459,-9.968232750780459,-11.94,20.12
r1.5_0.5_tp4.0_a15_20,28.75,25.91,0.302,31.07,15.74,1.081,1133,2,-2.9127231396108733,0.9927656818292885,-2.782952620446566,-1.0166129408068936,32.79,19.84
r1.5_0.5_tp4.0_a15_22,28.99,25.63,0.306,29.53,13.64,1.085,982,2,-3.7711352481499927,0.2596363962151127,-2.8639592282418636,-1.826880663740682,31.41,20.35
r1.5_0.5_tp4.0_a15_25,30.06,26.08,0.317,26.86,11.38,1.092,819,1,-2.061519406304313,-0.5877453705197988,-2.320544607785646,-3.0349547323478165,36.2,19.95
r1.5_0.5_tp4.0_a18_20,6.14,28.89,0.116,30.65,15.5,1.018,1116,2,-7.748662654840032,1.2669516112886026,-7.511810826528443,-3.887087422713009,14.18,20.1
r1.5_0.5_tp4.0_a18_22,9.97,29.33,0.149,29.02,13.41,1.029,965,2,-7.05668896673134,0.10922580898176104,-7.590893860971004,-4.674199191612638,20.64,19.87
r1.5_0.5_tp4.0_a18_25,8.76,29.88,0.139,26.18,11.14,1.027,802,1,-7.012611317755946,-0.26086293989769915,-7.074996065562312,-5.846175824303145,20.64,20.0
r1.5_0.5_tp4.0_a20_20,-11.69,33.84,-0.075,30.57,15.09,0.961,1086,2,-6.96024374662072,8.73347460913292,-13.36914442907563,-8.496347766915646,3.88,20.29
r1.5_0.5_tp4.0_a20_22,-6.72,33.17,-0.014,28.88,12.99,0.978,935,2,-6.552117182462968,7.464930681149928,-13.444849245721645,-9.24539556096471,10.36,20.08
r1.5_0.5_tp4.0_a20_25,-7.04,33.65,-0.018,25.91,10.72,0.976,772,2,-6.532929517802155,7.087051370665232,-12.553901358584374,-10.360809126293557,11.21,19.94
r1.5_0.75_tp3.0_a15_20,13.24,23.39,0.19,33.83,15.77,1.04,1135,3,-0.6015279090827774,0.08904042429109804,2.6123272686346732,-1.3288101899059046,11.45,20.38
r1.5_0.75_tp3.0_a15_22,16.28,22.46,0.22,32.72,13.67,1.05,984,2,-0.3375217627492044,-1.1540960632003383,2.500097110216859,-2.944386332142146,15.88,20.31
r1.5_0.75_tp3.0_a15_25,17.72,23.37,0.236,30.69,11.41,1.058,821,3,0.9834636699719512,-1.8308068373917186,3.419185230159427,-3.517478976446986,18.91,20.29
r1.5_0.75_tp3.0_a18_20,8.87,25.27,0.146,33.72,15.53,1.027,1118,4,3.259816184871678,3.699198521730507,0.9346821169461839,-1.094294492572423,7.57,20.42
r1.5_0.75_tp3.0_a18_22,12.69,24.17,0.183,32.57,13.43,1.039,967,4,3.531034451894488,1.8882390981257657,0.8216947276825204,-2.2661603391464835,12.18,20.19
r1.5_0.75_tp3.0_a18_25,12.96,22.8,0.185,30.47,11.17,1.041,804,4,4.904984006070823,1.151870766164076,0.9388124531683584,-3.8903323953330404,12.54,20.28
r1.5_0.75_tp3.0_a20_20,-17.91,26.72,-0.199,33.09,15.16,0.931,1091,2,-9.96176212743639,5.751911026909884,-5.759322717265725,-6.7564576638218465,-12.02,19.88
r1.5_0.75_tp3.0_a20_22,-18.1,25.75,-0.199,31.81,13.06,0.928,940,2,-9.798527839325576,5.474792103417281,-6.745911268095462,-7.863380215860049,-10.98,19.67
r1.5_0.75_tp3.0_a20_25,-17.75,26.37,-0.185,29.47,10.79,0.929,777,2,-9.511156433671509,7.4370064042301065,-6.5074813263881754,-9.39517204250554,-10.25,19.92
r1.5_0.75_tp4.0_a15_20,23.22,25.45,0.259,31.07,15.74,1.064,1133,3,-5.292125707626171,3.3696987479737484,-2.646864088450507,0.39684718973793665,23.17,19.99
r1.5_0.75_tp4.0_a15_22,27.34,25.33,0.294,29.53,13.64,1.079,982,2,-5.046953687519173,0.4316156088292056,-2.7500232569728666,-0.7889419926142449,29.01,19.85
r1.5_0.75_tp4.0_a15_25,32.91,25.66,0.337,26.86,11.38,1.097,819,2,-1.63745777970834,0.23674156602950802,-1.8798269283012758,-2.4214747813924853,37.72,19.82
r1.5_0.75_tp4.0_a18_20,7.43,28.87,0.127,30.65,15.5,1.02,1116,2,-7.974579900938217,3.4006484019138528,-7.382558028663899,-2.5154348860527143,14.04,20.26
r1.5_0.75_tp4.0_a18_22,13.62,28.21,0.178,29.02,13.41,1.038,965,2,-6.549663247132143,1.6680320228709355,-7.483837865475351,-3.6674722957965256,21.68,19.91
r1.5_0.75_tp4.0_a18_25,12.21,28.57,0.167,26.18,11.14,1.036,802,2,-6.345460835010508,0.9484228247223836,-6.656379783734334,-5.251318133042549,21.31,20.12
r1.5_0.75_tp4.0_a20_20,-7.65,33.3,-0.026,30.57,15.09,0.976,1086,2,-7.024252300328692,11.021146227429114,-13.181834139955917,-7.190108170569987,6.58,20.29
r1.5_0.75_tp4.0_a20_22,-9.73,33.01,-0.05,28.88,12.99,0.968,935,2,-6.634578228588017,9.121954973754587,-13.279222026536551,-8.286685645750868,5.72,20.26
r1.5_0.75_tp4.0_a20_25,-4.44,33.33,0.011,25.91,10.72,0.985,772,2,-6.325290464458167,8.380040991785354,-12.09550697594901,-9.794137925926627,13.17,19.91
r1.5_1.0_tp3.0_a15_20,9.09,23.7,0.147,33.83,15.77,1.026,1135,3,-0.8559694740089219,1.0908698813339779,2.8035002564131384,-0.3718121791897122,6.73,20.12
r1.5_1.0_tp3.0_a15_22,17.62,22.46,0.229,32.72,13.67,1.051,984,2,-0.6603133576016162,-0.34218280609253915,2.6337550693788403,-1.940476169486316,16.15,20.14
r1.5_1.0_tp3.0_a15_25,19.61,23.4,0.252,30.69,11.41,1.061,821,3,1.1512415378976293,-1.409840811094032,3.8912563167261327,-3.01466578946189,19.71,20.29
r1.5_1.0_tp3.0_a18_20,10.27,25.63,0.159,33.72,15.53,1.03,1118,5,2.9986947065719916,5.888978699928438,1.1227289692280484,0.5556346228503095,7.48,20.17
r1.5_1.0_tp3.0_a18_22,9.65,24.48,0.152,32.57,13.43,1.029,967,4,3.197610252899774,3.4631525769586835,0.9522178794940439,-1.9682806710529133,8.96,20.22
r1.5_1.0_tp3.0_a18_25,14.25,22.8,0.196,30.47,11.17,1.043,804,4,5.080661976175271,2.369629395455619,0.8071003742992078,-3.3902858688034776,13.8,20.06
r1.5_1.0_tp3.0_a20_20,-16.19,26.69,-0.172,33.09,15.16,0.94,1091,2,-9.476524764163663,5.964264983296097,-5.3479026381081045,-5.522192049691077,-11.56,20.17
r1.5_1.0_tp3.0_a20_22,-15.96,25.16,-0.157,31.81,13.06,0.941,940,2,-9.118108980150764,7.094722784488239,-6.9903727771157715,-6.994308431482721,-11.19,20.09
r1.5_1.0_tp3.0_a20_25,-16.19,26.17,-0.158,29.47,10.79,0.938,777,2,-9.313287130161974,8.72468477074686,-6.0609973985957355,-8.92420458482388,-9.2,19.82
