config,mom_lookback,mom_lookback_short,swing_lookback,swing_lookback_short,sniper_resid_z,bg_resid_z,sniper_tp_atr,bg_tp_atr,sniper_risk_pct,bg_risk_pct,use_sweep_stop,bg_persist,ret,dd,sharpe,wr,tpm,pf,trades,pos_years,train,train_dd,oos,oos_dd,oos_sharpe,y2020,y2021,y2022,y2023,y2024,y2025,score
ml12_ms4_sl12_ss24_sz1.25_bz0.75_tp3.0/2.5_r1.5_p2,12,4,12,24,1.25,0.75,3.0,2.5,1.5,1.0,True,2,-1.59,11.34,-0.028,30.15,1.89,0.961,136,2,0.72,11.34,-2.29,4.67,-0.282,-4.67209813510383,-1.95520805023498,0.01557719726748008,7.750582446351606,-1.482221842514675,-0.8242261239185922,5.009250000000001
ml8_ms4_sl12_ss18_sz1.0_bz0.5_tp3.0/2.5_r1.0_p2,8,4,12,18,1.0,0.5,3.0,2.5,1.0,1.0,True,2,0.55,9.74,0.036,31.92,2.96,1.009,213,2,9.0,7.87,-7.36,9.35,-0.996,-0.14057841406710514,1.5558335392725553,-3.030754948404346,10.836543390222776,-5.243665061462921,-2.6458822888130618,4.05575
ml12_ms4_sl12_ss24_sz1.25_bz0.75_tp4.0/2.5_r1.5_p2,12,4,12,24,1.25,0.75,4.0,2.5,1.5,1.0,True,2,-9.02,15.25,-0.285,27.94,1.89,0.78,136,2,-8.51,15.25,-0.56,4.29,-0.05,-6.682537753929296,-1.95520805023498,-2.203832988385024,2.2519707812914014,-1.0945566232464454,0.5429920023378942,3.9145
ml12_ms4_sl12_ss24_sz1.25_bz0.75_tp4.0/2.5_r1.0_p2,12,4,12,24,1.25,0.75,4.0,2.5,1.0,1.0,True,2,-5.5,13.99,-0.166,27.94,1.89,0.85,136,1,-4.25,13.99,-1.3,3.57,-0.19,-5.227106730806364,-1.95520805023498,-2.6814312173416677,5.8851034300174465,-0.9645022979284601,-0.3406694309123104,3.9114999999999993
ml12_ms4_sl12_ss18_sz1.25_bz0.75_tp3.0/2.5_r1.5_p2,12,4,12,18,1.25,0.75,3.0,2.5,1.5,1.0,True,2,-3.8,13.34,-0.094,31.87,2.22,0.917,160,2,-1.55,13.34,-2.29,5.16,-0.279,-4.67209813510383,-2.7572160359685016,-0.6790142112819697,6.934310852290149,-2.6819465379285368,0.4039760298071293,3.8925
ml12_ms4_sl12_ss18_sz1.25_bz0.75_tp4.0/2.5_r1.5_p2,12,4,12,18,1.25,0.75,4.0,2.5,1.5,1.0,True,2,-11.72,16.6,-0.397,30.0,2.22,0.734,160,2,-9.57,16.6,-0.48,4.72,-0.041,-6.682537753929296,-2.7572160359684794,-2.8830109654450653,2.606325846880231,-3.28145987367634,0.9374328533028109,3.7485
ml12_ms4_sl12_ss24_sz1.0_bz0.5_tp3.0/2.5_r1.5_p2,12,4,12,24,1.0,0.5,3.0,2.5,1.5,1.0,True,2,-5.28,14.15,-0.129,28.25,2.46,0.899,177,1,-1.86,14.15,-3.09,4.8,-0.368,-3.2035514788428365,-2.3419477995800464,-2.563785869903068,6.5506379590714925,-2.328782120815065,-1.1795330165955464,3.687
ml12_ms4_sl12_ss24_sz1.25_bz0.5_tp3.0/2.5_r1.5_p2,12,4,12,24,1.25,0.5,3.0,2.5,1.5,1.0,True,2,-5.67,14.5,-0.144,27.84,2.44,0.887,176,1,-2.26,14.5,-3.09,4.8,-0.368,-3.2035514788428365,-3.732956130309706,-2.066569489931114,7.100131281663713,-2.3287821208150428,-1.1795330165955686,3.66225
ml12_ms4_sl12_ss24_sz1.25_bz0.75_tp3.0/2.5_r1.0_p2,12,4,12,24,1.25,0.75,3.0,2.5,1.0,1.0,True,2,-4.54,11.26,-0.163,30.15,1.89,0.873,136,1,-2.14,11.26,-2.46,3.9,-0.395,-3.8701415795961758,-1.9552080502349578,-1.2014169792256668,5.096426075971117,-1.2246342403230637,-1.2510897282145272,3.631
ml12_ms4_sl12_ss18_sz1.25_bz0.75_tp3.0/2.5_r1.0_p2,12,4,12,18,1.25,0.75,3.0,2.5,1.0,1.0,True,2,-6.11,12.99,-0.222,31.87,2.22,0.849,160,1,-4.05,12.99,-2.15,4.11,-0.339,-3.8701415795961758,-2.456289841427406,-1.8875565673393546,4.298558758876436,-2.1260193709633057,-0.029222239084059076,3.6167499999999997
ml12_ms4_sl12_ss18_sz1.25_bz0.75_tp4.0/2.5_r1.0_p2,12,4,12,18,1.25,0.75,4.0,2.5,1.0,1.0,True,2,-11.02,15.51,-0.453,30.0,2.22,0.727,160,2,-10.19,15.51,-0.92,3.71,-0.129,-5.227106730806364,-2.456289841427417,-3.357292354806618,0.5247593310172105,-1.8682612903415885,0.9658170073193695,3.578
ml12_ms4_sl12_ss24_sz1.0_bz0.5_tp4.0/2.5_r1.5_p2,12,4,12,24,1.0,0.5,4.0,2.5,1.5,1.0,True,2,-14.06,17.28,-0.474,26.55,2.46,0.712,177,1,-9.76,17.28,-1.36,4.43,-0.138,-5.24496234870897,-1.9255811302744341,-4.723729146133504,1.9199430776587478,-2.989237685727919,-1.8319245440309273,3.4675
ml12_ms4_sl12_ss24_sz1.25_bz0.5_tp4.0/2.5_r1.5_p2,12,4,12,24,1.25,0.5,4.0,2.5,1.5,1.0,True,2,-14.01,17.23,-0.492,26.14,2.44,0.697,176,1,-9.7,17.23,-1.36,4.43,-0.138,-5.24496234870897,-3.732956130309717,-4.239775497243703,3.3714039858926848,-2.989237685727919,-1.831924544030894,3.45075
ml12_ms4_sl12_ss18_sz1.25_bz0.5_tp4.0/2.5_r1.5_p2,12,4,12,18,1.25,0.5,4.0,2.5,1.5,1.0,True,2,-13.88,18.07,-0.488,27.45,2.83,0.711,204,2,-10.62,18.07,-2.14,6.26,-0.224,-5.24496234870897,-3.9708604178182783,-4.904814195057594,3.29326237631804,-3.922855845113904,0.29235187017262465,3.3289999999999997
ml12_ms4_sl12_ss24_sz1.0_bz0.5_tp3.0/2.5_r1.0_p2,12,4,12,24,1.0,0.5,3.0,2.5,1.0,1.0,True,2,-7.65,13.63,-0.261,28.25,2.46,0.834,177,1,-4.15,13.63,-3.26,4.44,-0.487,-2.3934978888438985,-2.43284393562353,-3.4556008513670577,4.247613898700453,-2.0734627894156477,-1.6068272335321487,3.3172499999999996
ml12_ms4_sl12_ss24_sz1.0_bz0.5_tp4.0/2.5_r1.0_p2,12,4,12,24,1.0,0.5,4.0,2.5,1.0,1.0,True,2,-12.09,15.88,-0.459,26.55,2.46,0.736,177,1,-9.83,15.88,-2.11,3.85,-0.292,-3.7713072820204308,-2.154353528127695,-4.901251128429173,0.6979122342569921,-1.815566297302973,-0.6983530530474735,3.3007500000000003
ml12_ms4_sl12_ss24_sz1.25_bz0.5_tp3.0/2.5_r1.0_p2,12,4,12,24,1.25,0.5,3.0,2.5,1.0,1.0,True,2,-8.51,14.43,-0.298,27.84,2.44,0.812,176,1,-5.04,14.43,-3.26,4.44,-0.487,-2.3934978888438985,-3.7329561303096725,-3.2582280090802884,4.461997090126135,-2.0734627894156588,-1.6068272335321154,3.25875
ml12_ms4_sl12_ss18_sz1.0_bz0.5_tp4.0/2.5_r1.5_p2,12,4,12,18,1.0,0.5,4.0,2.5,1.5,1.0,True,2,-14.2,18.0,-0.478,27.54,2.88,0.722,207,1,-10.54,18.0,-3.06,6.74,-0.319,-5.24496234870897,-3.0917593924793096,-5.385406867026898,2.970346541211555,-3.922855845113904,-0.17913425044125963,3.1885
