date,open,high,low,close,volume
2023-03-14 12:00:00,1.07219,1.07486,1.06979,1.0721,203385.02
2023-03-14 16:00:00,1.0721,1.07494,1.07104,1.07414,122256.86
2023-03-14 20:00:00,1.07416,1.07421,1.07252,1.07267,14611.48
2023-03-15 00:00:00,1.07267,1.07597,1.0725,1.07508,41954.83
2023-03-15 04:00:00,1.07509,1.07537,1.07274,1.07371,60295.57
2023-03-15 08:00:00,1.07373,1.07435,1.05804,1.05873,164845.26
2023-03-15 12:00:00,1.05872,1.05946,1.05158,1.05338,209536.51
2023-03-15 16:00:00,1.05338,1.05923,1.05274,1.05801,181247.7
2023-03-15 20:00:00,1.05803,1.05888,1.05739,1.05814,25967.28
2023-03-16 00:00:00,1.05814,1.05991,1.05729,1.05985,75530.94
2023-03-16 04:00:00,1.05986,1.0628,1.05927,1.06247,62871.16
2023-03-16 08:00:00,1.0625,1.06353,1.05999,1.0613,106370.97
2023-03-16 12:00:00,1.0613,1.06267,1.0551,1.06212,227154.18
2023-03-16 16:00:00,1.06214,1.06251,1.05915,1.06148,118795.6
2023-03-16 20:00:00,1.06147,1.06171,1.06066,1.06135,18609.92
2023-03-17 00:00:00,1.06136,1.06447,1.06116,1.06402,52465.21
2023-03-17 04:00:00,1.06402,1.06693,1.06388,1.06625,65931.49
2023-03-17 08:00:00,1.06625,1.06699,1.06154,1.06295,92205.1
2023-03-17 12:00:00,1.06295,1.06479,1.06122,1.06462,65810.29
2023-03-17 16:00:00,1.06461,1.06852,1.06421,1.06612,47082.01
2023-03-17 20:00:00,1.06613,1.06666,1.06584,1.06647,5908.485
2023-03-19 20:00:00,1.06885,1.06886,1.06661,1.06804,12101.36
2023-03-20 00:00:00,1.06806,1.06898,1.06646,1.06692,19221.71
2023-03-20 04:00:00,1.06691,1.0681,1.06416,1.06554,51550.33
2023-03-20 08:00:00,1.06554,1.07086,1.06311,1.07068,167565.45
2023-03-20 12:00:00,1.07071,1.07309,1.07017,1.07211,142234.65
2023-03-20 16:00:00,1.07211,1.07283,1.07067,1.07231,71990.58
2023-03-20 20:00:00,1.07231,1.07243,1.07155,1.07185,31231.73
2023-03-21 00:00:00,1.07185,1.0726,1.0714,1.07157,47627.23
2023-03-21 04:00:00,1.07158,1.07219,1.07038,1.07189,47530.29
2023-03-21 08:00:00,1.0719,1.07846,1.07161,1.07785,105665.45
2023-03-21 12:00:00,1.07787,1.07886,1.07607,1.07688,129567.51
2023-03-21 16:00:00,1.07686,1.07783,1.07561,1.07693,56613.53
2023-03-21 20:00:00,1.07695,1.07739,1.07656,1.07727,10981.67
2023-03-22 00:00:00,1.07725,1.07767,1.07652,1.07698,35860.95
2023-03-22 04:00:00,1.07698,1.0775,1.0759,1.07657,49078.15
2023-03-22 08:00:00,1.07658,1.0798,1.0765,1.07972,85255.03
2023-03-22 12:00:00,1.07971,1.08002,1.07756,1.07912,83187.65
2023-03-22 16:00:00,1.07912,1.09124,1.07884,1.08653,182273.8
2023-03-22 20:00:00,1.08652,1.08717,1.08531,1.08688,23415.4
2023-03-23 00:00:00,1.08689,1.09056,1.08684,1.09008,55916.06
2023-03-23 04:00:00,1.09007,1.09296,1.08949,1.0906,85684.4
2023-03-23 08:00:00,1.09061,1.09104,1.08667,1.08759,113126.07
2023-03-23 12:00:00,1.08759,1.09079,1.08695,1.08898,122703.78
2023-03-23 16:00:00,1.08898,1.08986,1.0824,1.08397,123038.08
2023-03-23 20:00:00,1.08397,1.08407,1.0827,1.08345,23757.32
2023-03-24 00:00:00,1.08347,1.08351,1.08171,1.08286,59756.48
2023-03-24 04:00:00,1.08286,1.0837,1.08226,1.0828,55401.85
2023-03-24 08:00:00,1.08281,1.08309,1.07131,1.0738,199674.92
2023-03-24 12:00:00,1.0738,1.07673,1.07229,1.07611,161816.45
2023-03-24 16:00:00,1.07612,1.07675,1.07513,1.07589,56182.3
2023-03-24 20:00:00,1.07591,1.07628,1.07564,1.07566,4743.13
2023-03-26 20:00:00,1.07752,1.07798,1.07648,1.07776,17995.06
2023-03-27 00:00:00,1.07775,1.07775,1.07575,1.07715,50449.49
2023-03-27 04:00:00,1.07715,1.07821,1.07449,1.07515,68021.91
2023-03-27 08:00:00,1.07511,1.07807,1.07504,1.07716,81798.07
2023-03-27 12:00:00,1.07716,1.07948,1.07679,1.07878,91187.21
2023-03-27 16:00:00,1.07876,1.07986,1.0786,1.07972,33581.56
2023-03-27 20:00:00,1.07972,1.08076,1.07948,1.08062,9539.21
2023-03-28 00:00:00,1.08061,1.08194,1.08033,1.0815,41098.06
2023-03-28 04:00:00,1.08151,1.08339,1.0806,1.08204,62259.24
